Date,Island,Set,Bottom type,Latitude,Longitude,,,
3/28/18,Oahu,5,sandy,21°16.664 ,157°39.729 W,,,
3/28/18,Oahu,6,sandy,21°16.837 ,157°39.849 W,,,
3/28/18,Oahu,7,sandy,21°16.560 ,157°39.800 W,,,
3/28/18,Oahu,9,sandy,21°16.523 ,157°40.703 W,,,
3/28/18,Oahu,10,"sandy, seagrass",21°16.463 ,157°40.691 W,,,
4/9/18,Oahu,2,sandy,21°25.382 ,158°11.620 W,,,
4/9/18,Oahu,3,sandy,21°25.389 ,158°11.630 W,,,
4/9/18,Oahu,4,sandy,21°25.313 ,158°11.971 W,,,
4/26/18,Oahu,2,"sandy, seagrass",21°26.996 ,158°12.071 W,,,
4/26/18,Oahu,2,"sandy, seagrass",21°26.996 ,158°12.071 W,,,
4/26/18,Oahu,2,"sandy, seagrass",21°26.996 ,158°12.071 W,,,
4/26/18,Oahu,3,Sandy,21°26.386 ,158°11.954 W,,,
4/30/18,Oahu,2,rubble,21°26.327 ,158°12.201 W,,,
4/30/18,Oahu,2,rubble,21°26.327 ,158°12.201 W,,,
4/30/18,Oahu,2,rubble,21°26.327 ,158°12.201 W,,,
4/30/18,Oahu,3,sandy,21°26.278 ,158°12.185 W,,,
4/30/18,Oahu,3,sandy,21°26.278 ,158°12.185 W,,,
4/30/18,Oahu,4,sandy,21°25.228 ,158°12.045 W,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, 
